date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:51	76226/76226	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:49%20GMT	https://sunup.edu.bd/achivement/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/achivement/index.html	(from https://sunup.edu.bd/)
10:11:52	112458/112458	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:41%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/14-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/14-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:52	89250/89250	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:52%20GMT	https://sunup.edu.bd/notice-for-jsc/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/notice-for-jsc/index.html	(from https://sunup.edu.bd/)
10:11:53	95890/95890	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:53%20GMT	https://sunup.edu.bd/notice-for-ssc/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/notice-for-ssc/index.html	(from https://sunup.edu.bd/)
10:11:56	94318/94318	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:45%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/15-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/15-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:56	101651/101651	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:54%20GMT	https://sunup.edu.bd/notice-for-hsc/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/notice-for-hsc/index.html	(from https://sunup.edu.bd/)
10:11:57	112057/112057	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:49%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/16-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/16-1024x576.jpg	(from https://sunup.edu.bd/)
10:11:58	92822/92822	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:58%20GMT	https://sunup.edu.bd/notice-for-others/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/notice-for-others/index.html	(from https://sunup.edu.bd/)
10:11:59	78980/78980	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:58%20GMT	https://sunup.edu.bd/transportation/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/transportation/index.html	(from https://sunup.edu.bd/)
10:12:00	82024/82024	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2010:24:58%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/06/18-1024x576.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/06/18-1024x576.jpg	(from https://sunup.edu.bd/)
